element,sp_num,obs_wl_vac(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,
Fe,1,"=""554.85326""","=""0.00025""","=""100""","=""9.6e+05""",E,"=""34017.103""","=""52039.892""","=""3d7.(4F).4p""","=""y 5D*""","=""1""","=""3d6.(5D).4s (4D).5s""","=""e 3D""","=""1""",,
Fe,1,"=""555.1493""","=""0.0005""","=""110""","=""3.3e+04""",E,"=""29798.936""","=""47812.118""","=""3d6.4s2""","=""b 1G2""","=""4""","=""3d6.(3F2).4s.4p.(3P*)""","=""x 3G*""","=""4""",,
Fe,1,"=""555.4235""","=""0.0005""","=""40""","=""4.5e+05""",E,"=""39969.853""","=""57974.137""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""3""","=""3d6.(5D).4s (4D).4d""","=""i 5D""","=""2""",,
Fe,1,"=""555.51197""","=""0.00025""","=""229""","=""9.9e+05""",E,"=""35767.564""","=""53768.979""","=""3d7.(4F).4p""","=""z 3G*""","=""4""","=""3d7.(4F).4d""","=""f 5G""","=""4""",,
Fe,1,"=""555.64374""","=""0.00009""","=""1740""","=""""",,"=""36686.176""","=""54683.322""","=""3d7.(4F).4p""","=""y 3F*""","=""4""","=""3d7.(4F).4d""","=""f 3F""","=""4""",,
Fe,1,"=""555.9445""","=""0.0006""","=""155bl*""","=""""",,"=""25091.599""","=""43079.023""","=""3d7.(2P).4s""","=""c 3P""","=""0""","=""3d6.(3P2).4s.4p.(3P*)""","=""x 5P*""","=""1""",,
Fe,1,"=""555.9445""","=""0.0006""","=""155bl*""","=""""",,"=""36079.372""","=""54066.773""","=""3d7.(4F).4p""","=""z 3G*""","=""3""","=""3d7.(4F).4d""","=""f 3D""","=""2""",,
Fe,1,"=""555.95253""","=""0.00025""","=""182""","=""1.3e+06""",E,"=""36079.372""","=""54066.518""","=""3d7.(4F).4p""","=""z 3G*""","=""3""","=""3d7.(4F).4d""","=""e 3G""","=""4""",,
Fe,1,"=""556.17553""","=""0.00009""","=""417""","=""2.1e+06""",D,"=""35767.564""","=""53747.500""","=""3d7.(4F).4p""","=""z 3G*""","=""4""","=""3d7.(4F).4d""","=""f 3D""","=""3""",,
Fe,1,"=""556.2786""","=""0.0005""","=""30""","=""""",,"=""37157.566""","=""55134.168""","=""3d6.(5D).4s.4p.(1P*)""","=""y 5P*""","=""2""","=""3d6.4s.(6D).6s""","=""5D""","=""2""",,
Fe,1,"=""556.42509""","=""0.00009""","=""560""","=""""",,"=""35767.564""","=""53739.438""","=""3d7.(4F).4p""","=""z 3G*""","=""4""","=""3d7.(4F).4d""","=""e 3G""","=""5""",,
Fe,1,"=""556.51449""","=""0.00009""","=""1120""","=""3.4e+06""",D,"=""33801.572""","=""51770.557""","=""3d7.(4F).4p""","=""y 5D*""","=""2""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""3""",,
Fe,1,"=""556.52396""","=""0.00025""","=""135""","=""""",,"=""19552.478""","=""37521.161""","=""3d6.4s2""","=""a 3P2""","=""1""","=""3d7.(4F).4p""","=""y 3F*""","=""2""",,
Ti,1,"=""556.7019""","=""0.0004""","=""340""","=""""",,"=""18037.213""","=""36000.148""","=""3d3.(2H).4s""","=""a 3H""","=""4""","=""3d2.(1G).4s.4p.(1P*)""","=""y 1G*""","=""4""",,
Fe,1,"=""556.72492""","=""0.00009""","=""1660""","=""""",,"=""37162.746""","=""55124.938""","=""3d7.(4F).4p""","=""y 3F*""","=""3""","=""3d7.(4F).4d""","=""f 3F""","=""3""",,
Fe,1,"=""556.8824""","=""0.0005""","=""85""","=""""",,"=""35611.625""","=""53568.751""","=""3d7.(4F).4p""","=""z 5G*""","=""3""","=""3d7.(4F).4d""","=""f 5P""","=""2""",,
Fe,1,"=""556.89367""","=""0.00009""","=""407""","=""1.53e+05""",D,"=""21038.987""","=""38995.736""","=""3d6.4s2""","=""b 3F2""","=""2""","=""3d7.(4F).4p""","=""y 3D*""","=""1""",,
Fe,1,"=""557.11643""","=""0.00009""","=""9800""","=""2.34e+07""",B,"=""27559.583""","=""45509.152""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""2""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""1""",,
Na,1,"=""557.14""","=""0.09""","=""""","=""""",,"=""268897.4""","=""286849.5""","=""2p5.(2P*).3s.3p.(3P*)""","=""4P""","=""3/2""","=""2p5.3s.(3P*).4s""","=""4P*""","=""3/2""",,
Fe,1,"=""557.43895""","=""0.00009""","=""17800""","=""2.28e+07""",B,"=""27394.691""","=""45333.875""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""3""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""2""",,
Fe,1,"=""557.46496""","=""0.00009""","=""372""","=""2.07e+06""",C+,"=""33801.572""","=""51739.920""","=""3d7.(4F).4p""","=""y 5D*""","=""2""","=""3d6.(5D).4s (4D).5s""","=""e 3D""","=""2""",,
Fe,1,"=""557.76367""","=""0.00009""","=""5400""","=""2.5e+07""",D,"=""27666.348""","=""45595.086""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""1""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""0""",,
Ti,1,"=""558.0106""","=""0.0004""","=""3""","=""""",,"=""12118.393""","=""30039.170""","=""3d2.4s2""","=""a 1G""","=""4""","=""3d2.(1G).4s.4p.(3P*)""","=""x 3G*""","=""5""",,
Fe,1,"=""558.63150""","=""0.00009""","=""200""","=""1.3e+05""",E,"=""28819.954""","=""46720.842""","=""3d7.(2H).4s""","=""a 1H""","=""5""","=""3d7.(4P).4p""","=""u 5D*""","=""4""",,
Fe,1,"=""558.83067""","=""0.00009""","=""25700""","=""2.19e+07""",B,"=""27166.820""","=""45061.329""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""4""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""3""",,
Fe,1,"=""558.91250""","=""0.00009""","=""263""","=""""",,"=""33412.717""","=""51304.604""","=""3d8""","=""c 3F""","=""3""","=""3d7.(2D2).4p""","=""v 3F*""","=""4""",,
Fe,1,"=""559.3787""","=""0.0005""","=""27""","=""""",,"=""29320.026""","=""47197.010""","=""3d6.4s2""","=""b 3D""","=""1""","=""3d6.(3F2).4s.4p.(3P*)""","=""x 3F*""","=""2""",,
Fe,1,"=""559.62082""","=""0.00009""","=""457""","=""5.20e+06""",B,"=""36686.176""","=""54555.418""","=""3d7.(4F).4p""","=""y 3F*""","=""4""","=""3d7.(4F).4d""","=""e 3H""","=""4""",,
Ti,1,"=""559.6661""","=""0.0004""","=""2""","=""""",,"=""12118.393""","=""29986.199""","=""3d2.4s2""","=""a 1G""","=""4""","=""3d3.(4F).4p""","=""x 5D*""","=""3""",,
Ti,1,"=""559.9571""","=""0.0004""","=""2""","=""""",,"=""25107.411""","=""42965.9148""","=""3d2.(3F).4s.4p.(1P*)""","=""y 3F*""","=""2""","=""3d4""","=""3F1""","=""3""",,
Ti,1,"=""560.1593""","=""0.0004""","=""7""","=""1.9e+04""",D,"=""7255.355""","=""25107.411""","=""3d2.4s2""","=""a 1D""","=""2""","=""3d2.(3F).4s.4p.(1P*)""","=""y 3F*""","=""2""",,
Fe,1,"=""560.1654""","=""0.0006""","=""40""","=""""",,"=""40871.412""","=""58723.289""","=""3d8""","=""3P""","=""2""","=""3d7.(4F<9/2>).4f""","=""2[5/2]*""","=""2""",,
Fe,1,"=""560.17786""","=""0.00009""","=""170""","=""2.69e+06""",B,"=""34362.873""","=""52214.345""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3P*""","=""1""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""1""",,
Ti,1,"=""560.2340""","=""0.0004""","=""9""","=""""",,"=""25107.411""","=""42957.092""","=""3d2.(3F).4s.4p.(1P*)""","=""y 3F*""","=""2""","=""3d4""","=""3F1""","=""2""",,
Ti,1,"=""560.3020""","=""0.0004""","=""4""","=""""",,"=""7255.355""","=""25102.875""","=""3d2.4s2""","=""a 1D""","=""2""","=""3d2.(3P).4s.4p.(3P*)""","=""z 5S*""","=""2""",,
Fe,1,"=""560.43225""","=""0.00009""","=""690""","=""1.73e+06""",B,"=""33507.123""","=""51350.492""","=""3d7.(4F).4p""","=""y 5D*""","=""3""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""4""",,
Fe,1,"=""560.45002""","=""0.00009""","=""4570""","=""1.00e+07""",B,"=""27666.348""","=""45509.152""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""1""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""1""",,
Fe,1,"=""560.5302""","=""0.0003""","=""51""","=""""",,"=""29356.744""","=""47197.010""","=""3d6.4s2""","=""b 3D""","=""2""","=""3d6.(3F2).4s.4p.(3P*)""","=""x 3F*""","=""2""",,
Fe,1,"=""560.9220""","=""0.0003""","=""45""","=""""",,"=""33507.123""","=""51334.911""","=""3d7.(4F).4p""","=""y 5D*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""e 7G""","=""4""",,
Fe,1,"=""561.0529""","=""0.0005""","=""79""","=""""",,"=""33946.933""","=""51770.557""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3P*""","=""2""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""3""",,
Fe,1,"=""561.2918""","=""0.0003""","=""54""","=""""",,"=""29320.026""","=""47136.084""","=""3d6.4s2""","=""b 3D""","=""1""","=""3d7.(4P).4p""","=""w 3D*""","=""2""",,
Fe,1,"=""561.3237""","=""0.0006""","=""49""","=""""",,"=""40894.990""","=""58710.047""","=""3d6.(3P2).4s.4p.(3P*)""","=""z 5S*""","=""2""","=""3d6.(5D).4s (4D).4d""","=""g 5G""","=""3""",,
Fe,1,"=""561.5830""","=""0.0003""","=""41""","=""""",,"=""41018.051""","=""58824.845""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""2""","=""3d6.(5D).4s (4D).4d""","=""g 5G""","=""2""",,
Fe,1,"=""561.68550""","=""0.00009""","=""680""","=""2.39e+05""",C,"=""20874.482""","=""38678.039""","=""3d6.4s2""","=""b 3F2""","=""3""","=""3d7.(4F).4p""","=""y 3D*""","=""2""",,
Fe,1,"=""561.72024""","=""0.00009""","=""37200""","=""2.64e+07""",B,"=""26874.550""","=""44677.006""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""5""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""4""",,
Fe,1,"=""561.8695""","=""0.0003""","=""63""","=""""",,"=""34039.516""","=""51837.238""","=""3d7.(4F).4p""","=""y 5F*""","=""4""","=""3d6.(5D).4s (6D).4d""","=""e 5P""","=""3""",,
Ti,1,"=""561.9906""","=""0.0004""","=""5""","=""""",,"=""12118.393""","=""29912.286""","=""3d2.4s2""","=""a 1G""","=""4""","=""3d2.(3F).4s.4p.(1P*)""","=""w 3D*""","=""3""",,
Fe,1,"=""562.01921""","=""0.00009""","=""355""","=""2.24e+06""",C+,"=""33946.933""","=""51739.920""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3P*""","=""2""","=""3d6.(5D).4s (4D).5s""","=""e 3D""","=""2""",,
Fe,1,"=""562.0785""","=""0.0003""","=""6""","=""""",,"=""29798.936""","=""47590.048""","=""3d6.4s2""","=""b 1G2""","=""4""","=""3d6.(3G).4s.4p.(3P*)""","=""w 5G*""","=""4""",,
Fe,1,"=""562.11550""","=""0.00009""","=""105""","=""3.5e+05""",E,"=""35379.208""","=""53169.146""","=""3d7.(4F).4p""","=""z 3G*""","=""5""","=""3d7.(4F).4d""","=""f 5G""","=""6""",,
Fe,1,"=""562.1587""","=""0.0003""","=""71""","=""""",,"=""33412.717""","=""51201.289""","=""3d8""","=""c 3F""","=""3""","=""3d7.(2D2).4p""","=""v 3F*""","=""2""",,
Fe,1,"=""562.1980""","=""0.0003""","=""22""","=""""",,"=""40894.990""","=""58682.322""","=""3d6.(3P2).4s.4p.(3P*)""","=""z 5S*""","=""2""","=""3d6.4s.(4D).4d""","=""3D""","=""3""",,
Fe,1,"=""562.20522""","=""0.00009""","=""141""","=""5.3e+05""",E,"=""33507.123""","=""51294.220""","=""3d7.(4F).4p""","=""y 5D*""","=""3""","=""3d6.(5D).4s (4D).5s""","=""e 3D""","=""3""",,
Na,1,"=""562.26""","=""0.02""","=""42""","=""1.4e+07""",D,"=""268513.9""","=""286300.4""","=""2p5.(2P*).3s.3p.(3P*)""","=""4P""","=""5/2""","=""2p5.3s.(3P*).4s""","=""4P*""","=""5/2""",,
Ti,1,"=""562.3576""","=""0.0004""","=""3""","=""""",,"=""25227.222""","=""43009.4937""","=""3d2.(3F).4s.4p.(1P*)""","=""y 3F*""","=""3""","=""3d4""","=""3F1""","=""4""",,
Fe,1,"=""562.4507""","=""0.0003""","=""24""","=""""",,"=""29356.744""","=""47136.084""","=""3d6.4s2""","=""b 3D""","=""2""","=""3d7.(4P).4p""","=""w 3D*""","=""2""",,
Fe,1,"=""562.55827""","=""0.00009""","=""282""","=""8.3e+05""",E,"=""35379.208""","=""53155.145""","=""3d7.(4F).4p""","=""z 3G*""","=""5""","=""3d7.(4F).4d""","=""h 5D""","=""4""",,
Fe,1,"=""562.61031""","=""0.00009""","=""5900""","=""7.41e+06""",B,"=""27559.583""","=""45333.875""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""2""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""2""",,
Fe,1,"=""562.8648""","=""0.0005""","=""4""","=""""",,"=""33695.397""","=""51461.670""","=""3d7.(4F).4p""","=""y 5F*""","=""5""","=""3d6.(5D).4s (6D).4d""","=""f 5F""","=""4""",,
Fe,1,"=""562.9278""","=""0.0003""","=""11""","=""""",,"=""29371.812""","=""47136.084""","=""3d6.4s2""","=""b 3D""","=""3""","=""3d7.(4P).4p""","=""w 3D*""","=""2""",,
Na,1,"=""563.01""","=""0.05""","=""""","=""""",,"=""269086.5""","=""286849.5""","=""2p5.(2P*).3s.3p.(3P*)""","=""4P""","=""1/2""","=""2p5.3s.(3P*).4s""","=""4P*""","=""3/2""",,
Ti,1,"=""563.1934""","=""0.0004""","=""3""","=""""",,"=""25102.875""","=""42858.7661""","=""3d2.(3P).4s.4p.(3P*)""","=""z 5S*""","=""2""","=""3d2.4s.(4F).4d""","=""e 5P""","=""3""",,
Fe,1,"=""563.55099""","=""0.00010""","=""417""","=""7.7e+06""",E,"=""40257.314""","=""58001.938""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""5""","=""3d6.(5D).4s (4D).4d""","=""g 5G""","=""6""",,
Fe,1,"=""563.73865""","=""0.00010""","=""158""","=""5.8e+05""",E,"=""34328.752""","=""52067.469""","=""3d7.(4F).4p""","=""y 5F*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""e 5P""","=""2""",,
Ti,1,"=""563.7392""","=""0.0004""","=""12""","=""""",,"=""25227.222""","=""42965.9148""","=""3d2.(3F).4s.4p.(1P*)""","=""y 3F*""","=""3""","=""3d4""","=""3F1""","=""3""",,
Ti,1,"=""563.7557""","=""0.0004""","=""5""","=""""",,"=""27355.061""","=""45093.226""","=""3d2.(1D).4s.4p.(3P*)""","=""x 3D*""","=""1""","=""3d2.4s.(2D).5s""","=""3D""","=""1""",,
Fe,1,"=""563.7775""","=""0.0003""","=""7""","=""""",,"=""33095.941""","=""50833.438""","=""3d7.(4F).4p""","=""y 5D*""","=""4""","=""3d6.(5D).4s (6D).4d""","=""e 7F""","=""5""",,
Fe,1,"=""563.7810""","=""0.0005""","=""7""","=""""",,"=""34017.103""","=""51754.497""","=""3d7.(4F).4p""","=""y 5D*""","=""1""","=""3d6.(5D).4s (6D).4d""","=""f 5F""","=""1""",,
Fe,1,"=""563.82603""","=""0.00010""","=""110""","=""8.3e+04""",E,"=""29356.744""","=""47092.712""","=""3d6.4s2""","=""b 3D""","=""2""","=""3d6.(3F2).4s.4p.(3P*)""","=""x 3F*""","=""3""",,
Fe,1,"=""563.86723""","=""0.00010""","=""93""","=""""",,"=""29371.812""","=""47106.484""","=""3d6.4s2""","=""b 3D""","=""3""","=""3d6.(3H).4s.4p.(3P*)""","=""z 3H*""","=""4""",,
Fe,1,"=""563.98268""","=""0.00010""","=""1000""","=""4.4e+06""",D,"=""34039.516""","=""51770.557""","=""3d7.(4F).4p""","=""y 5F*""","=""4""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""3""",,
Fe,1,"=""564.0909""","=""0.0005""","=""6""","=""""",,"=""39969.853""","=""57697.493""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""3""","=""3d6.(5D).4s (4D).4d""","=""i 5D""","=""4""",,
Fe,1,"=""564.1876""","=""0.0003""","=""34""","=""""",,"=""37409.555""","=""55134.168""","=""3d6.(5D).4s.4p.(1P*)""","=""y 5P*""","=""1""","=""3d6.4s.(6D).6s""","=""5D""","=""2""",,
Fe,1,"=""564.2442""","=""0.0003""","=""13""","=""""",,"=""34017.103""","=""51739.920""","=""3d7.(4F).4p""","=""y 5D*""","=""1""","=""3d6.(5D).4s (4D).5s""","=""e 3D""","=""2""",,
Fe,1,"=""564.29994""","=""0.00010""","=""457""","=""3.0e+06""",D,"=""34328.752""","=""52049.823""","=""3d7.(4F).4p""","=""y 5F*""","=""3""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""2""",,
Fe,1,"=""564.30567""","=""0.00010""","=""27""","=""""",,"=""29371.812""","=""47092.712""","=""3d6.4s2""","=""b 3D""","=""3""","=""3d6.(3F2).4s.4p.(3P*)""","=""x 3F*""","=""3""",,
Fe,1,"=""564.43171""","=""0.00010""","=""26""","=""3.3e+05""",E,"=""37162.746""","=""54879.683""","=""3d7.(4F).4p""","=""y 3F*""","=""3""","=""3d7.(4F).4d""","=""e 3P""","=""2""",,
Fe,1,"=""564.54923""","=""0.00010""","=""51""","=""2.9e+05""",E,"=""32873.632""","=""50586.878""","=""3d8""","=""c 3F""","=""4""","=""3d7.(2G).4p""","=""z 1F*""","=""3""",,
Fe,1,"=""564.55920""","=""0.00010""","=""55""","=""""",,"=""36766.966""","=""54479.902""","=""3d6.(5D).4s.4p.(1P*)""","=""y 5P*""","=""3""","=""3d6.4s.(6D).6s""","=""5D""","=""4""",,
Ti,1,"=""564.5700""","=""0.0004""","=""790""","=""""",,"=""18287.554""","=""36000.148""","=""3d3.(2G).4s""","=""b 1G""","=""4""","=""3d2.(1G).4s.4p.(1P*)""","=""y 1G*""","=""4""",,
Fe,1,"=""564.5924""","=""0.0003""","=""4""","=""""",,"=""33507.123""","=""51219.015""","=""3d7.(4F).4p""","=""y 5D*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""e 5G""","=""3""",,
Fe,1,"=""564.74004""","=""0.00010""","=""29""","=""""",,"=""37157.566""","=""54864.831""","=""3d6.(5D).4s.4p.(1P*)""","=""y 5P*""","=""2""","=""3d6.4s.(6D).6s""","=""5D""","=""3""",,
Fe,1,"=""564.8251""","=""0.0003""","=""20""","=""""",,"=""34362.873""","=""52067.469""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3P*""","=""1""","=""3d6.(5D).4s (6D).4d""","=""e 5P""","=""2""",,
Fe,1,"=""564.9333""","=""0.0005""","=""4""","=""""",,"=""18378.186""","=""36079.372""","=""3d6.4s2""","=""a 3P2""","=""2""","=""3d7.(4F).4p""","=""z 3G*""","=""3""",,
Ti,1,"=""565.0130""","=""0.0004""","=""150""","=""1.3e+07""",D,"=""20126.062""","=""37824.758""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3D*""","=""3""","=""3d2.4s.(4F).5s""","=""e 3F""","=""4""",,
Fe,1,"=""565.11983""","=""0.00010""","=""115""","=""3.6e+04""",E,"=""29313.008""","=""47008.371""","=""3d6.4s2""","=""a 1I""","=""6""","=""3d6.(3H).4s.4p.(3P*)""","=""z 3H*""","=""5""",,
Fe,1,"=""565.15550""","=""0.00010""","=""110""","=""5.1e+06""",E,"=""41130.599""","=""58824.845""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""1""","=""3d6.(5D).4s (4D).4d""","=""g 5G""","=""2""",,
Fe,1,"=""565.2273""","=""0.0006""","=""760bl""","=""3.3e+06""",E,"=""41018.051""","=""58710.047""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""2""","=""3d6.(5D).4s (4D).4d""","=""g 5G""","=""3""",,
Fe,1,"=""565.30371""","=""0.00010""","=""55""","=""""",,"=""36079.372""","=""53768.979""","=""3d7.(4F).4p""","=""z 3G*""","=""3""","=""3d7.(4F).4d""","=""f 5G""","=""4""",,
Fe,1,"=""565.3093""","=""0.0003""","=""288""","=""""",,"=""35856.402""","=""53545.833""","=""3d7.(4F).4p""","=""z 5G*""","=""2""","=""3d7.(4F).4d""","=""h 5D""","=""3""",,
Fe,1,"=""565.38863""","=""0.00010""","=""107""","=""5.0e+05""",E,"=""34362.873""","=""52049.823""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3P*""","=""1""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""2""",,
Fe,1,"=""565.54355""","=""0.00010""","=""135""","=""4.6e+05""",E,"=""35379.208""","=""53061.318""","=""3d7.(4F).4p""","=""z 3G*""","=""5""","=""3d7.(4F).4d""","=""g 5F""","=""5""",,
Ti,1,"=""565.6334""","=""0.0004""","=""7""","=""""",,"=""27418.029""","=""45097.323""","=""3d2.(1D).4s.4p.(3P*)""","=""x 3D*""","=""2""","=""3d2.4s.(2D).5s""","=""3D""","=""2""",,
Fe,1,"=""565.67456""","=""0.00010""","=""155""","=""4.7e+06""",E,"=""40842.154""","=""58520.163""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""3""","=""3d6.(5D).4s (4D).4d""","=""g 5G""","=""4""",,
Fe,1,"=""565.7060""","=""0.0006""","=""540bl*""","=""""",,"=""40594.432""","=""58271.462""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""4""","=""3d6.(5D).4s (4D).4d""","=""g 5G""","=""5""",,
Fe,1,"=""565.7060""","=""0.0006""","=""540bl*""","=""""",,"=""34362.873""","=""52039.892""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3P*""","=""1""","=""3d6.(5D).4s (4D).5s""","=""e 3D""","=""1""",,
Ti,1,"=""565.7649""","=""0.0004""","=""3""","=""""",,"=""27418.029""","=""45093.226""","=""3d2.(1D).4s.4p.(3P*)""","=""x 3D*""","=""2""","=""3d2.4s.(2D).5s""","=""3D""","=""1""",,
Fe,1,"=""566.01017""","=""0.00010""","=""398""","=""5.80e+05""",B,"=""27666.348""","=""45333.875""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""1""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""2""",,
Fe,1,"=""566.02279""","=""0.00010""","=""295""","=""4.52e+06""",C+,"=""34547.211""","=""52214.345""","=""3d7.(4F).4p""","=""y 5F*""","=""2""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""1""",,
Fe,1,"=""566.03865""","=""0.00010""","=""5400""","=""4.34e+06""",B,"=""27394.691""","=""45061.329""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""3""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""3""",,
Ti,1,"=""566.0666""","=""0.0004""","=""20""","=""""",,"=""7255.355""","=""24921.117""","=""3d2.4s2""","=""a 1D""","=""2""","=""3d2.(3P).4s.4p.(3P*)""","=""z 3S*""","=""1""",,
Fe,1,"=""566.11450""","=""0.00010""","=""31""","=""""",,"=""41018.051""","=""58682.322""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""2""","=""3d6.4s.(4D).4d""","=""3D""","=""3""",,
Fe,1,"=""566.23718""","=""0.00010""","=""41""","=""4.4e+04""",E,"=""29356.744""","=""47017.188""","=""3d6.4s2""","=""b 3D""","=""2""","=""3d7.(4P).4p""","=""w 3D*""","=""3""",,
Fe,1,"=""566.2592""","=""0.0003""","=""7""","=""""",,"=""36940.590""","=""54600.350""","=""3d7.(2F).4s""","=""d 3F""","=""2""","=""3d6.(3G).4s.4p.(3P*)""","=""t 3G*""","=""3""",,
Fe,1,"=""566.29162""","=""0.00010""","=""58""","=""1.22e+06""",B,"=""34555.597""","=""52214.345""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3P*""","=""0""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""1""",,
Fe,1,"=""566.3541""","=""0.0003""","=""10""","=""""",,"=""34362.873""","=""52019.669""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3P*""","=""1""","=""3d6.(5D).4s (6D).4d""","=""e 5P""","=""1""",,
Ti,1,"=""566.3719""","=""0.0004""","=""350""","=""1.94e+07""",B+,"=""18695.134""","=""36351.365""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5D*""","=""4""","=""3d2.4s.(4F).5s""","=""e 5F""","=""5""",,
Fe,1,"=""566.40872""","=""0.00010""","=""2090""","=""6.18e+06""",B,"=""33695.397""","=""51350.492""","=""3d7.(4F).4p""","=""y 5F*""","=""5""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""4""",,
Ti,1,"=""566.4453""","=""0.0004""","=""110""","=""""",,"=""20006.039""","=""37659.992""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3D*""","=""2""","=""3d2.4s.(4F).5s""","=""e 3F""","=""3""",,
Fe,1,"=""566.45092""","=""0.00010""","=""347""","=""2.45e+05""",C+,"=""29798.936""","=""47452.717""","=""3d6.4s2""","=""b 1G2""","=""4""","=""3d7.(2G).4p""","=""z 1G*""","=""4""",,
Fe,1,"=""566.7205""","=""0.0003""","=""11""","=""""",,"=""29371.812""","=""47017.188""","=""3d6.4s2""","=""b 3D""","=""3""","=""3d7.(4P).4p""","=""w 3D*""","=""3""",,
Fe,1,"=""566.8364""","=""0.0005""","=""4""","=""""",,"=""33507.123""","=""51148.910""","=""3d7.(4F).4p""","=""y 5D*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""e 5S""","=""2""",,
Fe,1,"=""566.9033""","=""0.0006""","=""18bl""","=""""",,"=""40842.154""","=""58481.855""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""3""","=""3d6.4s.(4D).4d""","=""5P""","=""3""",,
Fe,1,"=""566.90904""","=""0.00010""","=""178""","=""6.12e+05""",C,"=""33695.397""","=""51334.911""","=""3d7.(4F).4p""","=""y 5F*""","=""5""","=""3d6.(5D).4s (6D).4d""","=""e 7G""","=""4""",,
Ti,1,"=""566.9165""","=""0.0004""","=""9""","=""""",,"=""25317.814""","=""42957.092""","=""3d3.(4F).4p""","=""y 3D*""","=""1""","=""3d4""","=""3F1""","=""2""",,
Fe,1,"=""566.9237""","=""0.0003""","=""2""","=""4.8e+04""",E,"=""21038.987""","=""38678.039""","=""3d6.4s2""","=""b 3F2""","=""2""","=""3d7.(4F).4p""","=""y 3D*""","=""2""",,
Fe,1,"=""567.1220""","=""0.0003""","=""4""","=""""",,"=""34121.603""","=""51754.497""","=""3d7.(4F).4p""","=""y 5D*""","=""0""","=""3d6.(5D).4s (6D).4d""","=""f 5F""","=""1""",,
Fe,1,"=""567.3404""","=""0.0003""","=""4""","=""""",,"=""35767.564""","=""53393.673""","=""3d7.(4F).4p""","=""z 3G*""","=""4""","=""3d7.(4F).4d""","=""g 5F""","=""4""",,
Fe,1,"=""567.3838""","=""0.0003""","=""2""","=""""",,"=""36975.588""","=""54600.350""","=""3d7.(2F).4s""","=""d 3F""","=""3""","=""3d6.(3G).4s.4p.(3P*)""","=""t 3G*""","=""3""",,
