element,sp_num,obs_wl_vac(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,
Fe,1,"=""644.0238""","=""0.0008""","=""71""","=""""",,"=""43434.627""","=""58961.996""","=""3d6.(5D).4s (6D).5s""","=""e 7D""","=""3""","=""3d6.4s.(4D).5p""","=""3F*""","=""2""",,
Fe,1,"=""644.05372""","=""0.00012""","=""680""","=""""",,"=""35767.564""","=""51294.220""","=""3d7.(4F).4p""","=""z 3G*""","=""4""","=""3d6.(5D).4s (4D).5s""","=""e 3D""","=""3""",,
Fe,1,"=""644.1342""","=""0.0008""","=""50""","=""""",,"=""36079.372""","=""51604.103""","=""3d7.(4F).4p""","=""z 3G*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""f 5F""","=""3""",,
Fe,1,"=""644.7882""","=""0.0003""","=""219""","=""""",,"=""32873.632""","=""48382.603""","=""3d8""","=""c 3F""","=""4""","=""3d7.(2G).4p""","=""z 1H*""","=""5""",,
Fe,1,"=""646.1071""","=""0.0008""","=""71""","=""""",,"=""33765.306""","=""49242.621""","=""3d8""","=""c 3F""","=""2""","=""3d6.(3F2).4s.4p.(3P*)""","=""v 3D*""","=""2""",,
Fe,1,"=""646.4511""","=""0.0008""","=""33100bl*""","=""9.70e+04""",C,"=""7376.764""","=""22845.869""","=""3d7.(4F).4s""","=""a 5F""","=""4""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7F*""","=""5""",,
Fe,1,"=""646.4511""","=""0.0008""","=""33100bl*""","=""5.60e+04""",C,"=""19788.251""","=""35257.324""","=""3d6.4s2""","=""a 3H""","=""4""","=""3d7.(4F).4p""","=""z 5G*""","=""4""",,
Fe,1,"=""646.64503""","=""0.00013""","=""630""","=""""",,"=""7728.060""","=""23192.500""","=""3d7.(4F).4s""","=""a 5F""","=""3""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7F*""","=""2""",,
Fe,1,"=""647.09054""","=""0.00013""","=""870""","=""""",,"=""19390.168""","=""34843.957""","=""3d6.4s2""","=""a 3H""","=""6""","=""3d7.(4F).4p""","=""z 5G*""","=""6""",,
Fe,1,"=""647.09803""","=""0.00013""","=""10200""","=""8.3e+06""",E,"=""38995.736""","=""54449.347""","=""3d7.(4F).4p""","=""y 3D*""","=""1""","=""3d7.(4F).4d""","=""f 3D""","=""1""",,
Fe,1,"=""647.3938""","=""0.0006""","=""100""","=""""",,"=""35257.324""","=""50703.870""","=""3d7.(4F).4p""","=""z 5G*""","=""4""","=""3d6.(5D).4s (6D).4d""","=""e 5G""","=""5""",,
Fe,1,"=""647.74134""","=""0.00013""","=""13200""","=""2.60e+04""",C,"=""20641.110""","=""36079.372""","=""3d6.4s2""","=""b 3F2""","=""4""","=""3d7.(4F).4p""","=""z 3G*""","=""3""",,
Fe,1,"=""647.8399""","=""0.0008""","=""71""","=""""",,"=""33095.941""","=""48531.865""","=""3d7.(4F).4p""","=""y 5D*""","=""4""","=""3d7.(4F).5s""","=""e 3F""","=""3""",,
Ti,1,"=""648.1234""","=""0.0005""","=""3""","=""""",,"=""27498.172""","=""42927.337""","=""3d3.(2F).4s""","=""1F""","=""3""","=""3d3.(2P).4p""","=""1D*""","=""2""",,
Fe,1,"=""648.36610""","=""0.00013""","=""15800""","=""3.29e+04""",B,"=""18378.186""","=""33801.572""","=""3d6.4s2""","=""a 3P2""","=""2""","=""3d7.(4F).4p""","=""y 5D*""","=""2""",,
Fe,1,"=""648.5738""","=""0.0003""","=""398""","=""""",,"=""11976.239""","=""27394.691""","=""3d7.(4F).4s""","=""a 3F""","=""4""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""3""",,
Fe,1,"=""649.62940""","=""0.00013""","=""3470""","=""""",,"=""38175.355""","=""53568.751""","=""3d7.(4F).4p""","=""y 3D*""","=""3""","=""3d7.(4F).4d""","=""f 5P""","=""2""",,
Fe,1,"=""649.67746""","=""0.00013""","=""870000""","=""7.66e+05""",B,"=""19390.168""","=""34782.421""","=""3d6.4s2""","=""a 3H""","=""6""","=""3d7.(4F).4p""","=""z 5G*""","=""5""",,
Fe,1,"=""649.75367""","=""0.00013""","=""5800""","=""6.4e+06""",E,"=""38995.736""","=""54386.186""","=""3d7.(4F).4p""","=""y 3D*""","=""1""","=""3d7.(4F).4d""","=""g 5F""","=""1""",,
Fe,1,"=""649.82611""","=""0.00013""","=""18600""","=""7.8e+06""",E,"=""38678.039""","=""54066.773""","=""3d7.(4F).4p""","=""y 3D*""","=""2""","=""3d7.(4F).4d""","=""f 3D""","=""2""",,
Ti,1,"=""649.9477""","=""0.0005""","=""43""","=""""",,"=""11639.8109""","=""27025.659""","=""3d3.(4F).4s""","=""b 3F""","=""3""","=""3d2.(1D).4s.4p.(3P*)""","=""x 3F*""","=""4""",,
Fe,1,"=""650.07345""","=""0.00013""","=""19100""","=""4.64e+02""",B+,"=""7728.060""","=""23110.939""","=""3d7.(4F).4s""","=""a 5F""","=""3""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7F*""","=""3""",,
Fe,1,"=""650.1412""","=""0.0006""","=""200""","=""""",,"=""35767.564""","=""51148.848""","=""3d7.(4F).4p""","=""z 3G*""","=""4""","=""3d6.(5D).4s (6D).4d""","=""e 7F""","=""3""",,
Fe,1,"=""650.2274""","=""0.0008""","=""129bl""","=""""",,"=""43922.668""","=""59301.904""","=""3d6.(3P2).4s.4p.(3P*)""","=""w 5D*""","=""3""","=""3d6.4s.(4D).4d""","=""3F""","=""4""",,
Fe,1,"=""650.34682""","=""0.00005""","=""15100""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,
Fe,1,"=""650.59802""","=""0.00013""","=""580""","=""""",,"=""38175.355""","=""53545.833""","=""3d7.(4F).4p""","=""y 3D*""","=""3""","=""3d7.(4F).4d""","=""h 5D""","=""3""",,
Fe,1,"=""650.6306""","=""0.0006""","=""129""","=""""",,"=""33765.306""","=""49135.023""","=""3d8""","=""c 3F""","=""2""","=""3d6.(3F2).4s.4p.(3P*)""","=""v 3D*""","=""3""",,
Ti,1,"=""650.9917""","=""0.0005""","=""37""","=""""",,"=""11531.761""","=""26892.936""","=""3d3.(4F).4s""","=""b 3F""","=""2""","=""3d2.(1D).4s.4p.(3P*)""","=""x 3F*""","=""3""",,
Ti,1,"=""651.0181""","=""0.0005""","=""3""","=""1.02e+06""",C+,"=""26657.416""","=""42017.9751""","=""3d3.(4F).4p""","=""y 5G*""","=""4""","=""3d2.4s.(4F).4d""","=""e 5H""","=""5""",,
